fips,state,county,date,ML
1001,Alabama,Autauga,2020-03-24,2.0
1001,Alabama,Autauga,2020-03-25,1.8
1001,Alabama,Autauga,2020-03-26,1.46
1001,Alabama,Autauga,2020-03-27,1.44
1001,Alabama,Autauga,2020-03-28,1.41
1001,Alabama,Autauga,2020-03-29,1.4000000000000001
1001,Alabama,Autauga,2020-03-30,1.3800000000000001
1001,Alabama,Autauga,2020-03-31,0.53
1001,Alabama,Autauga,2020-04-01,0.47000000000000003
1001,Alabama,Autauga,2020-04-02,1.0
1001,Alabama,Autauga,2020-04-03,1.0
1001,Alabama,Autauga,2020-04-04,1.0
1001,Alabama,Autauga,2020-04-05,0.38
1001,Alabama,Autauga,2020-04-06,0.27
1001,Alabama,Autauga,2020-04-07,0.11
1001,Alabama,Autauga,2020-04-08,0.11
1001,Alabama,Autauga,2020-04-09,0.11
1001,Alabama,Autauga,2020-04-10,0.11
1001,Alabama,Autauga,2020-04-11,0.11
1001,Alabama,Autauga,2020-04-12,1.0
1001,Alabama,Autauga,2020-04-13,1.0
1001,Alabama,Autauga,2020-04-14,1.53
1003,Alabama,Baldwin,2020-03-14,2.0
1003,Alabama,Baldwin,2020-03-15,2.0
1003,Alabama,Baldwin,2020-03-16,2.0
1003,Alabama,Baldwin,2020-03-17,2.0
1003,Alabama,Baldwin,2020-03-18,2.0
1003,Alabama,Baldwin,2020-03-19,2.0
1003,Alabama,Baldwin,2020-03-20,2.0
1003,Alabama,Baldwin,2020-03-21,0.0
1003,Alabama,Baldwin,2020-03-22,0.0
1003,Alabama,Baldwin,2020-03-23,0.0
1003,Alabama,Baldwin,2020-03-24,1.0
1003,Alabama,Baldwin,2020-03-25,1.0
1003,Alabama,Baldwin,2020-03-26,1.0
1003,Alabama,Baldwin,2020-03-27,1.8900000000000001
1003,Alabama,Baldwin,2020-03-28,2.15
1003,Alabama,Baldwin,2020-03-29,1.8
1003,Alabama,Baldwin,2020-03-30,1.62
1003,Alabama,Baldwin,2020-03-31,1.53
1003,Alabama,Baldwin,2020-04-01,1.47
1003,Alabama,Baldwin,2020-04-02,1.42
1003,Alabama,Baldwin,2020-04-03,1.2
1003,Alabama,Baldwin,2020-04-04,1.0
1003,Alabama,Baldwin,2020-04-05,1.19
1003,Alabama,Baldwin,2020-04-06,1.35
1003,Alabama,Baldwin,2020-04-07,1.32
1003,Alabama,Baldwin,2020-04-08,1.44
1003,Alabama,Baldwin,2020-04-09,1.3900000000000001
1003,Alabama,Baldwin,2020-04-10,1.36
1003,Alabama,Baldwin,2020-04-11,1.33
1003,Alabama,Baldwin,2020-04-12,1.21
1003,Alabama,Baldwin,2020-04-13,1.1
1003,Alabama,Baldwin,2020-04-14,1.19
1005,Alabama,Barbour,2020-04-03,2.0
1005,Alabama,Barbour,2020-04-04,1.8800000000000001
1005,Alabama,Barbour,2020-04-05,1.52
1005,Alabama,Barbour,2020-04-06,1.52
1005,Alabama,Barbour,2020-04-07,1.49
1005,Alabama,Barbour,2020-04-08,1.46
1005,Alabama,Barbour,2020-04-09,1.44
1005,Alabama,Barbour,2020-04-10,0.27
1005,Alabama,Barbour,2020-04-11,0.27
1005,Alabama,Barbour,2020-04-12,1.0
1005,Alabama,Barbour,2020-04-13,1.0
